Sample,Family,Count
P014,1028097903|WP_063854498_1|1|1|otr(A)|otr(A)|target_protection|2|TETRACYCLINE|TETRACYCLINE|tetracycline_resistance_ribosomal_protection_protein_Otr(A),18.93029948
P014,1028099431|WP_063855880_1|1|1|tet(40)|tet(40)|efflux|2|TETRACYCLINE|TETRACYCLINE|tetracycline_efflux_MFS_transporter_Tet(40),19.57079834
P014,1028099835|WP_063856107_1|1|1|tet(M)|tet(M)|target_protection|2|TETRACYCLINE|TETRACYCLINE|tetracycline_resistance_ribosomal_protection_protein_Tet(M),81.12985492
P014,1028099865|WP_063856114_1|1|1|tet(M)|tet(M)|target_protection|2|TETRACYCLINE|TETRACYCLINE|tetracycline_resistance_ribosomal_protection_protein_Tet(M),131.8360143
P014,1028100269|WP_063856404_1|1|1|tet(O)|tet(O)|target_protection|2|TETRACYCLINE|TETRACYCLINE|tetracycline_resistance_ribosomal_protection_protein_Tet(O),476.6378977
P014,1028100276|WP_063856411_1|1|1|tet(S)|tet(S)|target_protection|2|TETRACYCLINE|TETRACYCLINE|tetracycline_resistance_ribosomal_protection_protein_Tet(S),10.10577301
P014,1028100286|WP_063856421_1|1|1|tet(O_W_O)|tet(O_W_O)||2|TETRACYCLINE|TETRACYCLINE|tetracycline_resistance_ribosomal_protection_mosaic_protein_Tet(O_W_O),20.28246373
P014,1028100287|WP_063856422_1|1|1|tet(W)|tet(W)|target_protection|2|TETRACYCLINE|TETRACYCLINE|tetracycline_resistance_ribosomal_protection_protein_Tet(W),405.6492746
P014,1028100594|WP_063856729_1|1|1|vanR-O|vanR-O|re-structuring_of_the_cell_wall|2|VANCOMYCIN|GLYCOPEPTIDE|vancomycin_resistance_response_regulator_transcription_factor_VanR-O,16.22597098
P014,1028111146|WP_063865358_1|1|1|oqxA2|oqxA|efflux|2|PHENICOL_QUINOLONE|PHENICOL_QUINOLONE|multidrug_efflux_RND_transporter_periplasmic_adaptor_subunit_OqxA2,15.60189518
P014,1092525475|WP_070509550_1|1|1|mef(H)|mef(H)|efflux|2|ERYTHROMYCIN|MACROLIDE|macrolide_efflux_MFS_transporter_Mef(H),8.676989832
P014,1102724737|WP_071593233_1|1|1|blaOXA-539|blaOXA-2_fam|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|OXA-2_family_inhibitor-resistant_extended-spectrum_class_D_beta-lactamase_OXA-539,5.239636464
P014,1509879089|WP_122634437_1|1|1|tet(W_N_W)|tet(W_N_W)||2|TETRACYCLINE|TETRACYCLINE|tetracycline_resistance_ribosomal_protection_mosaic_protein_Tet(W_N_W),50.70615933
P014,1789396|WP_001281881_1|1|1|parC|parC|mutation|2|||DNA_topoisomerase_IV_subunit_A_ParC,10.14123187
P014,18476187|AAL05407_1|1|1|tcrB|tcrB||1|COPPER|COPPER|copper-translocating_P-type_ATPase_TcrB,2.414579016
P014,1988761213|WP_204313008_1|1|1|tet(O_W)|tet(O_W)||2|TETRACYCLINE|TETRACYCLINE|tetracycline_resistance_ribosomal_protection_mosaic_protein_Tet(O_W),294.0957241
P014,392336448|AFM70730_1|1|1|copB_Ehir|copB_Ehir||1|COPPER_SILVER|COPPER_SILVER|copper_silver-translocating_P-type_ATPase_CopB,0.294803252
P014,446602081|WP_000679427_1|1|1|qacEdelta1|qacE_gen|efflux|2|QUATERNARY_AMMONIUM|QUATERNARY_AMMONIUM|quaternary_ammonium_compound_efflux_SMR_transporter_QacE_delta_1,15.60189518
P014,446733577|WP_000810833_1|1|1|erm(A)|erm(A)|target_modification|2|MACROLIDE|MACROLIDE|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(A),4.916960905
P014,447005063|WP_001082319_1|1|1|aph(3__)-Ib|aph(3__)-Ib|phosphotransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|aminoglycoside_O-phosphotransferase_APH(3__)-Ib,7.800947589
P014,447178612|WP_001255868_1|1|1|aadE|aadE|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|aminoglycoside_6-adenylyltransferase_AadE,2.96588704
P014,447207400|WP_001284656_1|1|1|blaI_of_Z|blaI_of_Z|regulation|2|BETA-LACTAM|BETA-LACTAM|penicillinase_repressor_BlaI,0.817841279
P014,488251003|WP_002322211_1|1|1|dfrF|dfrF|insensitivity|2|TRIMETHOPRIM|TRIMETHOPRIM|trimethoprim-resistant_dihydrofolate_reductase_DfrF,12.87775475
P014,488961139|WP_002872163_1|1|1|tet(O_M_O)|tet(O_M_O)||2|TETRACYCLINE|TETRACYCLINE|tetracycline_resistance_ribosomal_protection_mosaic_protein_Tet(O_M_O),324.5194197
P014,489103457|WP_003013318_1|1|1|aadS|aadS|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|aminoglycoside_6-adenylyltransferase_AadS,10.14123187
P014,492333575|WP_005812825_1|1|1|nimJ|nimJ|nitroimidazole_reductase|2|NITROIMIDAZOLE|NITROIMIDAZOLE|5-nitroimidazole_reductase_NimJ,6.760821244
P014,493602755|WP_006555379_1|1|1|blaACI-1|blaACI|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|extended-spectrum_class_A_beta-lactamase_ACI-1,7.042522129
P014,499327877|WP_011018369_1|1|1|erm(B)|erm(B)|target_modification|2|MACROLIDE|MACROLIDE|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(B),4.772344407
P014,499413378|WP_011100845_1|1|1|erm(T)|erm(T)|target_modification|2|MACROLIDE|MACROLIDE|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(T),7.800947589
P014,499446086|WP_011133550_1|1|1|erm(33)|erm(33)|target_modification|2|MACROLIDE|MACROLIDE|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(33),10.14123187
P014,499589362|WP_011270145_1|1|1|sul2|sul2|insensitivity|2|SULFONAMIDE|SULFONAMIDE|sulfonamide-resistant_dihydropteroate_synthase_Sul2,1.536550283
P014,501846383|WP_012655884_1|1|2|aac(6_)-Ie|aac(6_)-Ie|acetyltransferase|2|AMIKACIN_KANAMYCIN_TOBRAMYCIN|AMINOGLYCOSIDE|bifunctional_aminoglycoside_N-acetyltransferase_AAC(6_)-Ie_aminoglycoside_O-phosphotransferase_APH(2__)-Ia,13.52164249
P014,505385954|WP_015573056_1|1|1|tet(O_32_O)|tet(O_32_O)||2|TETRACYCLINE|TETRACYCLINE|tetracycline_resistance_ribosomal_protection_mosaic_protein_Tet(O_32_O),30.4236956
P014,557273012|WP_000281668_1|1|1|cyaA|cyaA|mutation|2|||adenylate_cyclase_CyaA,10.14123187
P014,985479976|WP_002295408_1|1|1|liaF|liaF|mutation|2|||three-component_signaling_pathway_regulator_LiaF,1.126803541
P014,gb|AAX14803_1|ARO_3000782|adeK__Acinetobacter_baumannii_,0.734871874
P014,gb|ABS43901_1|ARO_3000783|cmeA__Campylobacter_jejuni,0.994238418
P014,gb|ACT97371_1|ARO_3003097|CfxA6__uncultured_organism_,78.87624784
P014,gb|CAA79727_1|ARO_3000191|tet(Q)__Bacteroides_fragilis_,80.28475227
P014,gb|EGP45230_2|ARO_3004142|OprZ__Achromobacter_insuavis,4.36636372
P014,gb|EGP45232_2|ARO_3004143|AxyX__Achromobacter_insuavis,7.800947589
P017,0|WP_000506490_1|1|1|fabI|fabI|mutation|2|||enoyl-_acyl-carrier-protein__reductase_FabI,6.86462233
P017,0|WP_000642196_1_336_ftsI_I336IKYRI|1|1|ftsI|ftsI|mutation|2|||penicillin-binding_protein_PBP3_FtsI,6.86462233
P017,0|WP_000977920_1|1|1|ompF|ompF|mutation|2|||outer_membrane_protein_F_OmpF,6.86462233
P017,0|WP_001157751_1|1|1|ompR|ompR|mutation|2|||two-component_system_response_regulator_OmpR,13.72924466
P017,0|WP_001181005_1|1|1|rpsJ|rpsJ|mutation|2|||30S_ribosomal_protein_S10,13.72924466
P017,0|WP_089631889_1|1|1|nfsA|nfsA|mutation|2|||nitroreductase_NfsA,1.189867871
P017,1028081053|WP_063840436_1|1|1|aadA21|aadA21|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA21,1.239445698
P017,1028082228|WP_063841495_1|1|1|aph(3_)-IIIa|aph(3_)-IIIa|phosphotransferase|2|AMIKACIN_KANAMYCIN|AMINOGLYCOSIDE|aminoglycoside_O-phosphotransferase_APH(3_)-IIIa,53.51926526
P017,1028084269|WP_063843237_1|1|1|cfxA|cfxA|hydrolase|2|BETA-LACTAM|BETA-LACTAM|broad-spectrum_class_A_beta-lactamase_CfxA,122.4863984
P017,1028085790|WP_063844289_1|1|1|dfrA1|dfrA1|insensitivity|2|TRIMETHOPRIM|TRIMETHOPRIM|trimethoprim-resistant_dihydrofolate_reductase_DfrA1,3.718337095
P017,1028085842|WP_063844340_1|1|1|dfrA14|dfrA14|insensitivity|2|TRIMETHOPRIM|TRIMETHOPRIM|trimethoprim-resistant_dihydrofolate_reductase_DfrA14,1.565615619
P017,1028086505|WP_063844879_1|1|1|erm(X)|erm(X)|target_modification|2|MACROLIDE|MACROLIDE|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(X),0.708254685
P017,1028086515|WP_063844889_1|1|1|erm(X)|erm(X)|target_modification|2|MACROLIDE|MACROLIDE|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(X),26.77202709
P017,1028086520|WP_063844894_1|1|1|erm(X)|erm(X)|target_modification|2|MACROLIDE|MACROLIDE|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(X),10.62382027
P017,1028097819|WP_063854492_1|1|1|nimD|nimD|nitroimidazole_reductase|2|NITROIMIDAZOLE|NITROIMIDAZOLE|5-nitroimidazole_reductase_NimD,22.60748954
P017,1028097903|WP_063854498_1|1|1|otr(A)|otr(A)|target_protection|2|TETRACYCLINE|TETRACYCLINE|tetracycline_resistance_ribosomal_protection_protein_Otr(A),8.329075094
P017,1028098264|WP_063854808_1|1|1|qnrS10|qnrS|target_protection|2|QUINOLONE|QUINOLONE|quinolone_resistance_pentapeptide_repeat_protein_QnrS10,4.319737704
P017,1028098403|WP_063854934_1|1|1|sat4|sat4|acetyltransferase|2|STREPTOTHRICIN|STREPTOTHRICIN|streptothricin_N-acetyltransferase_Sat4,38.67070579
P017,1028099431|WP_063855880_1|1|1|tet(40)|tet(40)|efflux|2|TETRACYCLINE|TETRACYCLINE|tetracycline_efflux_MFS_transporter_Tet(40),9.393693715
P017,1028099835|WP_063856107_1|1|1|tet(M)|tet(M)|target_protection|2|TETRACYCLINE|TETRACYCLINE|tetracycline_resistance_ribosomal_protection_protein_Tet(M),1990.054013
P017,1028099865|WP_063856114_1|1|1|tet(M)|tet(M)|target_protection|2|TETRACYCLINE|TETRACYCLINE|tetracycline_resistance_ribosomal_protection_protein_Tet(M),1874.041896
P017,1028100269|WP_063856404_1|1|1|tet(O)|tet(O)|target_protection|2|TETRACYCLINE|TETRACYCLINE|tetracycline_resistance_ribosomal_protection_protein_Tet(O),829.9328397
P017,1028100277|WP_063856412_1|1|1|tet(T)|tet(T)|target_protection|2|TETRACYCLINE|TETRACYCLINE|tetracycline_resistance_ribosomal_protection_protein_Tet(T),11.15501129
P017,1028100287|WP_063856422_1|1|1|tet(W)|tet(W)|target_protection|2|TETRACYCLINE|TETRACYCLINE|tetracycline_resistance_ribosomal_protection_protein_Tet(W),26.77202709
P017,1028100594|WP_063856729_1|1|1|vanR-O|vanR-O|re-structuring_of_the_cell_wall|2|VANCOMYCIN|GLYCOPEPTIDE|vancomycin_resistance_response_regulator_transcription_factor_VanR-O,2.379735741
P017,1061418|AAB09628_1|1|1|arsC_gluta|arsC_gluta||1|ARSENATE|ARSENIC|glutaredoxin-dependent_arsenate_reductase,17.84801806
P017,1134531378|APX31177_1|1|1|LHR_kefB|LHR_kefB||1|||heat_resistance_system_K+_H+_antiporter_KefB-GI,0.590993975
P017,1172533228|WP_080897395_1|1|1|blaOKP-D-1|blaOKP-D|hydrolase|2|BETA-LACTAM|BETA-LACTAM|broad-spectrum_class_A_beta-lactamase_OKP-D-1,1.189867871
P017,1196722489|WP_086259262_1|1|1|acrB|acrB|mutation|2|||multidrug_efflux_RND_transporter_permease_subunit_AcrB,26.77202709
P017,1359448069|WP_105796499_1|1|1|blaPEN-A2|blaPEN-A|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_A_beta-lactamase_PEN-A2,1.189867871
P017,1509879089|WP_122634437_1|1|1|tet(W_N_W)|tet(W_N_W)||2|TETRACYCLINE|TETRACYCLINE|tetracycline_resistance_ribosomal_protection_mosaic_protein_Tet(W_N_W),8.924009029
P017,157021158|ABV01310_1|1|1|ltcA|ltcA||1|||heat-labile_enterotoxin_LT_subunit_A,1.859168548
P017,16128448|WP_000101737_1|1|1|acrR|acrR|mutation|2|||transcriptional_regulator_AcrR,4.37451423
P017,16131218|WP_000031783_1|1|1|tufA|tufA|mutation|2|||translation_elongation_factor_EF-Tu_1,8.924009029
P017,16131888|WP_000019358_1|1|1|soxS|soxS|mutation|2|||regulatory_protein_SoxS,1.239445698
P017,170518246|ACB16424_1|1|1|lpfA-O113|lpfA-O113||1|||long_polar_fimbria_major_subunit_LpfA-O113,3.718337095
P017,1787413|AAC74250_1|1|1|ariR|ariR||1|||biofilm_acid-resistance_regulator_AriR,5.609377104
P017,1789396|WP_001281881_1|1|1|parC|parC|mutation|2|||DNA_topoisomerase_IV_subunit_A_ParC,8.924009029
P017,1789666|AAC76298_1|1|1|acrF|acrF|efflux|1|EFFLUX|EFFLUX|multidrug_efflux_RND_transporter_permease_subunit_AcrF,6.86462233
P017,1790794|AAC77293_1|1|1|mdtM|mdtM||1|EFFLUX|EFFLUX|multidrug_efflux_MFS_transporter_MdtM,1.821226332
P017,1988761213|WP_204313008_1|1|1|tet(O_W)|tet(O_W)||2|TETRACYCLINE|TETRACYCLINE|tetracycline_resistance_ribosomal_protection_mosaic_protein_Tet(O_W),26.77202709
P017,209911041|BAG76115_1|1|1|iss|iss||1|||increased_serum_survival_lipoprotein_Iss,1.487334838
P017,218353995|CAV00478_1|1|1|lpfA_gen|lpfA_gen||1|||long_polar_fimbria_major_subunit_LpfA,2.974669676
P017,3818601|AAC69584_1|1|1|ybtQ|ybtQ||1|||yersiniabactin_ABC_transporter_ATP-binding_permease_protein_YbtQ,2.478891397
P017,4206624|AAD11743_1|1|1|silE|silE||1|SILVER|SILVER|silver-binding_protein_SilE,1.652594265
P017,446117463|WP_000195318_1|1|1|parE|parE|mutation|2|||DNA_topoisomerase_IV_subunit_B_ParE,8.924009029
P017,446493211|WP_000571065_1|1|1|dfrA8|dfrA8|insensitivity|2|TRIMETHOPRIM|TRIMETHOPRIM|trimethoprim-resistant_dihydrofolate_reductase_DfrA8,4.591808282
P017,446687385|WP_000764731_1|1|1|folP|folP|mutation|2|||dihydropteroate_synthase_FolP,20.59386699
P017,446733577|WP_000810833_1|1|1|erm(A)|erm(A)|target_modification|2|MACROLIDE|MACROLIDE|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(A),241.4890928
P017,447178608|WP_001255864_1|1|1|ant(6)-Ia|ant(6)-Ia|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|aminoglycoside_nucleotidyltransferase_ANT(6)-Ia,89.24009029
P017,447178612|WP_001255868_1|1|1|aadE|aadE|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|aminoglycoside_6-adenylyltransferase_AadE,0.693575831
P017,487566233|WP_001718014_1|1|1|fabG|fabG|mutation|2|||beta-ketoacyl-ACP_reductase_FabG,10.29693349
P017,488251003|WP_002322211_1|1|1|dfrF|dfrF|insensitivity|2|TRIMETHOPRIM|TRIMETHOPRIM|trimethoprim-resistant_dihydrofolate_reductase_DfrF,55.24386542
P017,488961139|WP_002872163_1|1|1|tet(O_M_O)|tet(O_M_O)||2|TETRACYCLINE|TETRACYCLINE|tetracycline_resistance_ribosomal_protection_mosaic_protein_Tet(O_M_O),401.5804063
P017,491439585|WP_005297378_1|1|1|cmx|cmx|efflux|2|CHLORAMPHENICOL|PHENICOL|chloramphenicol_efflux_MFS_transporter_Cmx,0.708254685
P017,49282|CAA77936_1|1|1|SMR_efflux_emrE|SMR_efflux_emrE|efflux|1|EFFLUX|EFFLUX|multidrug_efflux_SMR_transporter_EmrE,3.305188529
P017,501846383|WP_012655884_1|1|2|aac(6_)-Ie|aac(6_)-Ie|acetyltransferase|2|AMIKACIN_KANAMYCIN_TOBRAMYCIN|AMINOGLYCOSIDE|bifunctional_aminoglycoside_N-acetyltransferase_AAC(6_)-Ie_aminoglycoside_O-phosphotransferase_APH(2__)-Ia,69.40895911
P017,505385954|WP_015573056_1|1|1|tet(O_32_O)|tet(O_32_O)||2|TETRACYCLINE|TETRACYCLINE|tetracycline_resistance_ribosomal_protection_mosaic_protein_Tet(O_32_O),26.77202709
P017,557272689|WP_000623140_1|1|1|ptsI|ptsI|mutation|2|||phosphoenolpyruvate--protein_phosphotransferase_PtsI,3.432311165
P017,557273138|WP_000879194_1|1|1|uhpT|uhpT|mutation|2|||hexose_phosphate_transporter_UhpT,13.72924466
P017,674300809|WP_000357259_1|1|1|murA|murA|mutation|2|||UDP-N-acetylglucosamine_1-carboxyvinyltransferase_MurA,10.29693349
P017,695261637|WP_032488596_1|1|1|nimA|nimA|nitroimidazole_reductase|2|NITROIMIDAZOLE|NITROIMIDAZOLE|5-nitroimidazole_reductase_NimA,1.239445698
P017,697410288|KGL71342_1|1|1|silF|silF||1|COPPER_SILVER|COPPER_SILVER|Cu(+)_Ag(+)_efflux_RND_transporter_periplasmic_metallochaperone_SilF,0.697188205
P017,85676145|BAE77395_1|1|1|fieF|fieF||1|||CDF_family_cation-efflux_transporter_FieF,8.74902846
P017,85676543|BAE77793_1|1|1|arsR_K-12|arsR_K-12||1|ARSENIC|ARSENIC|As(III)-sensing_metalloregulatory_transcriptional_repressor_ArsR,4.576414887
P017,87081927|WP_000843414_1|1|1|marR|marR|mutation|2|||transcriptional_regulator_MarR,1.41650937
P017,91070941|ABE05822_1|1|1|fdeC|fdeC||1|||intimin-like_adhesin_FdeC,6.86462233
P017,gb|AAC73565_1|ARO_3004043|Ecol_acrA__Escherichia_coli,6.86462233
P017,gb|AAC73788_1|ARO_3003841|kdpE__Escherichia_coli,2.124764055
P017,gb|AAC74149_2|ARO_3001216|mdtH__Escherichia_coli,2.478891397
P017,gb|AAC75089_1|ARO_3003577|ugd__Escherichia_coli,4.759471482
P017,gb|AAC75136_1|ARO_3000793|mdtB__Escherichia_coli,8.924009029
P017,gb|AAC75271_1|ARO_3003952|YojI__Escherichia_coli,6.86462233
P017,gb|AAC76296_1|ARO_3000656|AcrS__Escherichia_coli,3.772226039
P017,gb|AAC76297_1|ARO_3000499|AcrE__Escherichia_coli,3.432311165
P017,gb|AAS13767_1|ARO_3003839|Mrx__Aeromonas_hydrophila_,0.708254685
P017,gb|ACT97371_1|ARO_3003097|CfxA6__uncultured_organism_,76.01933617
P017,gb|ADP36409_1|ARO_3003730|Bbif_ileS_MUP__Bifidobacterium_bifidum,13.72924466
P017,gb|ANK04027_1|ARO_3003838|gadW__Escherichia_coli,2.176587568
P017,gb|BAA11236_1|ARO_3000206|emrK__Escherichia_coli_,2.844126941
P017,gb|BAA11237_1|ARO_3000254|emrY__Escherichia_coli_,3.424784167
P017,gb|BAA15221_2|ARO_3000263|marA__Escherichia_coli,5.949339353
P017,gb|BAA16547_1|ARO_3000027|emrA__Escherichia_coli,6.693006772
P017,gb|BAB35162_1|ARO_3000676|H-NS__Escherichia_coli,2.425866982
P017,gb|BAB36671_1|ARO_3000832|evgA__Escherichia_coli,4.05636774
P017,gb|BAB38260_1|ARO_3000830|cpxA__Escherichia_coli,27.45848932
P017,gb|BAE77778_1|ARO_3000508|gadX__Escherichia_coli,2.208913126
P017,gb|BAE77781_1|ARO_3000795|mdtE__Escherichia_coli,1.565615619
P017,gb|BAE77933_1|ARO_3000518|CRP__Escherichia_coli,6.86462233
P017,gb|BAE78082_1|ARO_3003550|mdtP__Escherichia_coli,4.287023945
P017,gb|BAE78083_1|ARO_3003549|mdtO__Escherichia_coli,2.478891397
P017,gb|BAE78116_1|ARO_3003576|eptA__Escherichia_coli,13.72924466
P017,gb|CAA79727_1|ARO_3000191|tet(Q)__Bacteroides_fragilis_,125.9860098
P017,gb|VWQ00850_1|ARO_3003843|leuO__Escherichia_coli_,5.249417076
P019,0|WP_089631889_1|1|1|nfsA|nfsA|mutation|2|||nitroreductase_NfsA,1.58932135
P019,1028081058|WP_063840441_1|1|1|aadA3|aadA3|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA3,11.91991012
P019,1028082228|WP_063841495_1|1|1|aph(3_)-IIIa|aph(3_)-IIIa|phosphotransferase|2|AMIKACIN_KANAMYCIN|AMINOGLYCOSIDE|aminoglycoside_O-phosphotransferase_APH(3_)-IIIa,10.46303222
P019,1028086397|WP_063844771_1|1|1|erm(F)|erm(F)|target_modification|2|MACROLIDE|MACROLIDE|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(F),115.7440548
P019,1028086505|WP_063844879_1|1|1|erm(X)|erm(X)|target_modification|2|MACROLIDE|MACROLIDE|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(X),25.54266455
P019,1028086515|WP_063844889_1|1|1|erm(X)|erm(X)|target_modification|2|MACROLIDE|MACROLIDE|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(X),119.1991012
P019,1028094339|WP_063851348_1|1|1|mecA|mecA|insensitivity|2|METHICILLIN|BETA-LACTAM|PBP2a_family_beta-lactam-resistant_peptidoglycan_transpeptidase_MecA,1.892049226
P019,1028097903|WP_063854498_1|1|1|otr(A)|otr(A)|target_protection|2|TETRACYCLINE|TETRACYCLINE|tetracycline_resistance_ribosomal_protection_protein_Otr(A),17.48253485
P019,1028099431|WP_063855880_1|1|1|tet(40)|tet(40)|efflux|2|TETRACYCLINE|TETRACYCLINE|tetracycline_efflux_MFS_transporter_Tet(40),3.311086146
P019,1028099835|WP_063856107_1|1|1|tet(M)|tet(M)|target_protection|2|TETRACYCLINE|TETRACYCLINE|tetracycline_resistance_ribosomal_protection_protein_Tet(M),381.437124
P019,1028099865|WP_063856114_1|1|1|tet(M)|tet(M)|target_protection|2|TETRACYCLINE|TETRACYCLINE|tetracycline_resistance_ribosomal_protection_protein_Tet(M),369.5172138
P019,1028100269|WP_063856404_1|1|1|tet(O)|tet(O)|target_protection|2|TETRACYCLINE|TETRACYCLINE|tetracycline_resistance_ribosomal_protection_protein_Tet(O),47.6796405
P019,1028100277|WP_063856412_1|1|1|tet(T)|tet(T)|target_protection|2|TETRACYCLINE|TETRACYCLINE|tetracycline_resistance_ribosomal_protection_protein_Tet(T),9.933258437
P019,1028100287|WP_063856422_1|1|1|tet(W)|tet(W)|target_protection|2|TETRACYCLINE|TETRACYCLINE|tetracycline_resistance_ribosomal_protection_protein_Tet(W),345.6773936
P019,1028100594|WP_063856729_1|1|1|vanR-O|vanR-O|re-structuring_of_the_cell_wall|2|VANCOMYCIN|GLYCOPEPTIDE|vancomycin_resistance_response_regulator_transcription_factor_VanR-O,15.8932135
P019,1028109684|WP_063864087_1|1|1|blaOXA-457|blaOXA-PR|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-457,1.655543073
P019,1092525475|WP_070509550_1|1|1|mef(H)|mef(H)|efflux|2|ERYTHROMYCIN|MACROLIDE|macrolide_efflux_MFS_transporter_Mef(H),4.966629218
P019,1359448069|WP_105796499_1|1|1|blaPEN-A2|blaPEN-A|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_A_beta-lactamase_PEN-A2,0.794660675
P019,1509879089|WP_122634437_1|1|1|tet(W_N_W)|tet(W_N_W)||2|TETRACYCLINE|TETRACYCLINE|tetracycline_resistance_ribosomal_protection_mosaic_protein_Tet(W_N_W),11.91991012
P019,18152905|AAF98391_2|1|1|ibeA|ibeA||1|||putative_intracellular_survival_FAD-dependent_oxidoreductase_IbeA,1.103695382
P019,18476187|AAL05407_1|1|1|tcrB|tcrB||1|COPPER|COPPER|copper-translocating_P-type_ATPase_TcrB,7.568196904
P019,1988761213|WP_204313008_1|1|1|tet(O_W)|tet(O_W)||2|TETRACYCLINE|TETRACYCLINE|tetracycline_resistance_ribosomal_protection_mosaic_protein_Tet(O_W),214.5583822
P019,291431185|EFF04178_1|1|1|emrD|emrD|efflux|1|EFFLUX|EFFLUX|multidrug_efflux_MFS_transporter_EmrD,9.169161634
P019,33518934|AAQ20107_1|1|1|cfaC|cfaC||1|||CFA_I_pilus_usher_protein_CfaC,1.58932135
P019,446414428|WP_000492283_1|1|1|tet(K)|tet(K)|efflux|2|TETRACYCLINE|TETRACYCLINE|tetracycline_efflux_MFS_transporter_Tet(K),44.14781527
P019,446655928|WP_000733274_1|1|1|blaZ|blaZ|hydrolase|2|BETA-LACTAM|BETA-LACTAM|penicillin-hydrolyzing_class_A_beta-lactamase_BlaZ,3.074579992
